"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Republic,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,139.00,144.17,153.86,105.31,105.84,169.97,162.94,191.22,230.51,238.27,271.27,295.19,305.44,303.38,313.46,322.95,329.11,337.61,327.90,346.51,354.10,..,..
Ecuador,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.33,71.49,97.71,132.66,150.50,168.63,190.53,191.11,229.10,241.68,283.82,337.00,383.99,411.50,428.63,459.27,442.55,464.02,497.17,487.33,478.53,..,..
"Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.04,70.37,65.59,51.60,51.60,60.99,68.03,75.13,92.33,101.22,107.42,118.70,142.76,142.60,158.21,173.52,145.28,107.99,120.22,145.31,150.91,..,..
El Salvador,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155.13,161.76,166.13,170.79,184.88,223.97,230.50,238.63,251.83,255.38,268.67,293.37,298.73,321.83,312.87,329.44,337.27,335.74,345.15,364.13,385.74,..,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.31,51.28,64.46,94.39,119.85,142.01,169.32,216.74,364.52,266.58,271.07,289.87,237.00,330.95,368.52,285.38,252.67,248.93,270.56,222.74,236.62,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.18,14.00,14.82,18.62,21.77,20.61,22.32,18.40,19.69,22.66,24.89,33.60,26.21,29.74,31.79,26.84,22.73,20.89,24.03,25.26,23.98,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209.71,214.70,250.48,349.06,455.07,524.68,600.51,832.73,"1,038.56",963.02,926.45,"1,015.97","1,013.31","1,144.65","1,287.76","1,156.20","1,226.09","1,350.13","1,553.43","1,598.84","1,787.87","2,035.62",..
Eswatini,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.75,76.11,75.28,132.39,177.12,218.71,238.98,253.80,267.73,282.30,346.70,369.37,343.83,306.57,285.05,252.68,227.80,267.07,291.17,259.24,219.10,..,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.32,5.55,5.19,5.76,5.80,6.56,8.53,11.79,13.22,15.36,16.41,14.84,20.29,19.54,21.90,23.53,24.67,24.51,23.85,26.23,28.70,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
