"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.58,..,..,..,..,..,..,..,..,..,..,0.45,..,..,..,..,..,..,..,0.29,..,..,..,..,..,..
Comoros,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.18,..,..,..,..,..,..,..,..,..,..,..,0.03,..,..,..,..,..,..,..,0.05,..,..,..,..,..,0.00,..,..,..,..
Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.55,1.48,0.83,0.99,..,..,..,1.93,..,..,..,..,..,3.86,..,..,..,3.11,..,..,..,..,..,3.14,..,..,..,..,..,2.25,..,..,..,1.78,..,..,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,..,..,..,..,0.00,..,..,..,0.00,0.00,0.00,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,..,..,..,..,..,0.00,..,..,..,..,..,..,..
