"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Republic,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.89,78.58,82.24,64.93,65.89,91.57,89.21,88.31,95.84,92.77,98.87,104.14,102.01,97.71,97.34,96.86,97.01,95.52,94.83,96.82,87.28,..,..
Ecuador,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.73,43.59,61.21,82.32,91.62,105.95,116.14,105.85,125.54,125.72,134.39,156.53,165.79,156.50,142.15,166.56,146.69,150.48,151.46,150.48,161.89,..,..
"Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.39,44.91,41.82,33.75,33.31,39.39,41.10,45.32,57.08,61.17,67.27,71.81,86.92,82.61,87.21,103.16,85.71,60.90,75.27,90.83,89.51,..,..
El Salvador,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.36,73.01,74.51,78.04,82.58,98.61,89.32,99.37,105.79,98.15,101.58,111.91,116.63,120.35,114.43,116.03,116.49,125.17,129.77,131.15,126.84,..,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.37,40.04,54.27,77.92,98.63,110.26,121.70,153.42,279.68,153.98,179.43,186.52,115.32,237.18,274.48,220.16,187.89,187.77,203.29,167.95,175.51,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.40,7.83,6.82,7.25,7.65,7.26,7.69,8.11,6.58,10.45,12.30,12.45,13.88,14.61,16.74,11.31,12.83,8.55,11.75,10.91,10.85,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.71,41.32,51.50,71.60,101.92,118.77,139.11,188.62,215.23,195.83,203.06,219.00,218.04,258.75,303.28,274.78,291.68,336.09,383.15,384.83,385.97,..,..
Eswatini,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.40,13.60,12.71,19.94,25.94,28.97,29.64,30.80,28.22,29.43,36.25,38.72,36.13,32.28,30.07,26.70,24.11,28.03,29.50,27.43,24.73,..,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.91,1.92,1.94,1.99,2.02,2.06,3.31,4.36,5.09,6.38,6.94,6.90,8.55,8.28,8.43,8.65,8.74,8.43,8.46,9.95,9.49,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.13,8.18,8.63,11.17,14.39,14.65,18.28,22.05,22.37,29.96,28.72,35.86,38.23,35.85,35.56,35.69,36.34,28.95,30.00,30.13,25.46,..,..
